Date,st_ko
2006-09-28,13.975099563598633
2006-09-29,13.891157150268555
2006-10-02,13.835193634033203
2006-10-03,13.853849411010742
2006-10-04,13.928462028503418
2006-10-05,13.937799453735352
2006-10-06,13.916025161743164
2006-10-09,13.810319900512695
2006-10-10,13.698396682739258
2006-10-11,13.71705436706543
2006-10-12,13.69528579711914
2006-10-13,13.685956954956055
2006-10-16,13.757466316223145
2006-10-17,13.614453315734863
2006-10-18,13.667304039001465
2006-10-19,13.96265697479248
2006-10-20,14.534727096557617
2006-10-23,14.69950008392334
2006-10-24,14.621779441833496
2006-10-25,14.671526908874512
2006-10-26,14.65597915649414
2006-10-27,14.572039604187012
2006-10-30,14.537834167480469
2006-10-31,14.525400161743164
2006-11-01,14.500529289245605
2006-11-02,14.522281646728516
